Time [s]	Eng. strain [-]	Cast-800-20C-007 [MPa]
0.000455	0.371988	962.421009
0.000456	0.372860	961.435391
0.000457	0.373691	961.829501
0.000458	0.374504	962.815119
0.000459	0.375332	963.308100
0.000460	0.376163	963.702553
0.000461	0.377008	963.653461
0.000462	0.377866	963.160480
0.000463	0.378709	963.209229
0.000464	0.379552	963.258321
0.000465	0.380416	962.568629
0.000466	0.381291	961.533919
0.000467	0.382170	960.350902
0.000468	0.383029	959.808486
0.000469	0.383845	960.695577
0.000470	0.384657	961.730630
0.000471	0.385490	962.075991
0.000472	0.386310	962.864898
0.000473	0.387130	963.702553
0.000474	0.387978	963.603683
0.000475	0.388822	963.653118
0.000476	0.389661	963.850516
0.000477	0.390525	963.160480
0.000478	0.391395	962.273046
0.000479	0.392253	961.730630
0.000480	0.393100	961.582667
0.000481	0.393922	962.223268
0.000482	0.394745	962.864211
0.000483	0.395585	962.913990
0.000484	0.396430	962.815463
0.000485	0.397282	962.519537
0.000486	0.398120	962.667500
0.000487	0.398947	963.209916
0.000488	0.399813	962.421353
0.000489	0.400687	961.336864
0.000490	0.401521	961.533919
0.000491	0.402371	961.188901
0.000492	0.403243	960.055320
0.000493	0.404080	960.055320
0.000494	0.404886	961.090030
0.000495	0.405696	962.026213
0.000496	0.406526	962.322139
0.000497	0.407357	962.568629
0.000498	0.408179	963.110702
0.000499	0.409040	962.371574
0.000500	0.409933	960.547957
0.000501	0.410784	960.054976
0.000502	0.411613	960.301467
0.000503	0.412462	959.857921
0.000504	0.413288	960.104412
0.000505	0.414106	960.597392
0.000506	0.414970	959.512903
0.000507	0.415828	958.625469
0.000508	0.416638	959.315505
0.000509	0.417449	959.956449
0.000510	0.418284	959.858265
0.000511	0.419130	959.365627
0.000512	0.419983	958.675591
0.000513	0.420837	957.985556
0.000514	0.421701	956.999594
0.000515	0.422563	956.062725
0.000516	0.423405	955.865326
0.000517	0.424251	955.569744
0.000518	0.425110	954.880052
0.000519	0.425943	955.077450
0.000520	0.426765	955.718393
0.000521	0.427614	955.471903
0.000522	0.428477	954.781524
0.000523	0.429343	954.042053
0.000524	0.430209	953.352360
0.000525	0.431073	952.761195
0.000526	0.431954	951.627271
0.000527	0.432833	950.591874
0.000528	0.433698	950.049801
0.000529	0.434590	948.620638
0.000530	0.435493	946.895548
0.000531	0.436357	946.501095
0.000532	0.437208	946.550530
0.000533	0.438076	946.107328
0.000534	0.438959	945.220238
0.000535	0.439876	943.248658
0.000536	0.440807	940.833533
0.000537	0.441722	939.009916
0.000538	0.442658	936.545699
0.000539	0.443621	933.292918
0.000540	0.444577	930.385156
0.000541	0.445562	926.738265
0.000542	0.446613	921.119795
0.000543	0.447754	912.938237
0.000544	0.449053	900.074735
0.000545	0.450612	879.473563
